title;price;description;shop;img;category;shop_address;shop_img;shop_phone;shop_mail;shop_site
Автокресло 0-25 кг;Цену оточняйте у продавца;Автокресла BamBola – безопасные и стильные. Вы будете приятно удивлены их комфортабельностью и легкостью в использовании.Корпус автокресел обладает высокими бортами, обеспечивающими дополнительную защиту головы малыша.Ваш малыш будет чувствовать себя уютно и защищено.Характеристики:- Группа: 0+1/2 (0-25 кг)- 3 положения спинки- 3 положения плечевых накладок на ремни в зависимости от роста ребенка- 5-ти точечный ремень безопасностиВид крепления: штатным ремнем автомобиляСпособ установки: на задним сиденье лицом против направления и по направлению движения, на передним сиденье лицом по направлению движения только в том случае, если подушка безопасности отключена.Возраст: с 4 месяцев до 6 летРазмер: 47х42х67 см;"""Детки Конфетки""";http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;Автокресла;г. Пенза, ул. Перспективная, 1;http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;29-43-59;detkipenza@mail.ru;dis-pnz.ru
Infinity Детское автокресло Infinity (9-36кг);Цену оточняйте у продавца;Кресло снабжено 5-точечными ремнями безопасности (2 по плечам, 2 по бокам, 1 между ног), мягкими накладками на ремни и кнопку, регулировки ремней по высоте и по объему ребенка одной кнопкой, съемные чехлы из мягкой велюровой ткани, подголовник выдвигается наверх по мере роста ребенка, изменение наклона спинки, впоследствии спинку можно снять и использовать кресло как сиденье бустер.«Одобрено ГОСТом России и соответствует евростандарту ECE R44/04. Сертификат соответствия.»Производитель Россия.Цвета в наличии - уточняйте.Смотрите ссылку;"""Детки Конфетки""";http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;Автокресла;г. Пенза, ул. Перспективная, 1;http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;29-43-59;detkipenza@mail.ru;dis-pnz.ru
Детское автокресло от 0-13 кг;Цену оточняйте у продавца;- Группа 0+ (до 13кг) - Предназначено для детей от рождения до 1 года - 3-х точечная система безопасности  - Регулировка высоты пояса - 2 положения - Ручка для переноса кресла с регулировкой - 4 положения - Предусмотрена поддержка для головы новорожденного - Съемный защитный козырек от ветра и солнца - Приспособлено для ручного переноса - Может использоваться в качестве кресла-качалки или переносной колыбели - Имеется мягкий вкладыш, обеспечивающий дополнительный комфорт Вашему ребенку Соответствует европейским стандартам безопасности ECE R44/04.;"""Детки Конфетки""";http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;Автокресла;г. Пенза, ул. Перспективная, 1;http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;29-43-59;detkipenza@mail.ru;dis-pnz.ru
Кресло Siger Прайм изофикс от 9-36 кг;Цену оточняйте у продавца;Группа 1-2-3Для детей весом от 9 до 36 кг (примерно от 9 месяцев до 12 лет).Ширина посадочного места – 27-34 см.Глубина посадочного места – 30 см.Высота посадочного места – 12 см.Высота спинки – 58 см.Нижнее положение ремней безопасности – 30 см.Среднее положение ремней безопасности – 35 см.Верхнее положение ремней безопасности – 40 см.Вес – 5, 4 кг.В группе 2-3 ISOFIX используется только для фиксации автокресла.Корпус – ПНД-пластмасса ПЭ2МТ76-17.Чехол – трикотажное полотно, плотность 250 г/м2.;"""Детки Конфетки""";http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;Автокресла;г. Пенза, ул. Перспективная, 1;http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;29-43-59;detkipenza@mail.ru;dis-pnz.ru
Rant Автокресло Virage группа 0+ от 0-13 кг;Цену оточняйте у продавца;Автокресло «Virage» группа 0+ от о-13 кг.Автокресло Rant «Virage» предназначена для малышей с рождения до 1, 5 лет (весом до 13 кг).Автокресло характеризуется малым собственным весом. Обивка автолюльки съемная и ее можно стирать при температуре 30 градусов.Особенности: Установка против движения автомобиля Крепится штатными автомобильными ремнями безопасности Удобная ручка для переноски малыша регулируется в 3­х положениях Анти скользящая накладка на ручке­переноске 3х точечные ремни безопасности с мягкими накладками Регулировка высоты ремней безопасности в 2 положениях Съемный капюшон Съемный мягкий вкладыш Чехол автокресла снимается и стирается при температуре 30 градусов Соответствует европейским стандартам безопасности и качества ECE R44/04.Смотрите ссылку;"""Детки Конфетки""";http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;Автокресла;г. Пенза, ул. Перспективная, 1;http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;29-43-59;detkipenza@mail.ru;dis-pnz.ru
Rant Автокресло Fiesta 1029A от 0-25 кг;Цену оточняйте у продавца;Автокресло Fiesta 1029A группа 0-1-2 от 0-25 кг.Автокресло Рант Fiesta предназначено для детей от рождения до 7 лет.Идеальная эргономика позволит путешествовать детям с комфортом, даже в зимней одежде. Благодаря регулируемому по высоте подголовнику, в автокресле Rant Fiesta комфортно будет даже высокому ребенку.Автокресло Rant Fiesta имеет 4 положения угла наклона, благодаря чему обеспечивает наиболее комфортное и безопасное путешествие Вашего малыша. Мягкие и приятные на ощупь материалы поддерживают оптимальный микроклимат.В подголовнике имеется специальная направляющая, которая предотвращает попадание штатного ремня на шею ребенка.Особенности:Вес ребенка: 0-25 кгВозраст: от рождения до 7 летУстанавливается по ходу и против хода движения автомобиляСъемный пятиточечный ремень безопасности с мягкими плечевыми накладками и антискользящими нашивкамиНастройка высоты подголовникаКорректировка высоты ремня безопасности по уровню подголовникаЦентральная регулировка натяжения ремней безопасности4 положения угла наклонаСъемный чехолМягкий вкладыш для малыша (съемный)Сертификат Европейского Стандарта Безопасности ЕСЕ R44/04Bec автокресла 5.4 кгСмотрите ссылку;"""Детки Конфетки""";http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;Автокресла;г. Пенза, ул. Перспективная, 1;http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;29-43-59;detkipenza@mail.ru;dis-pnz.ru
Rant Автокресло Star HV 0-18 кг;Цену оточняйте у продавца;Автокресло Star HV 0-18 кгКрепление и установка: Установка автокресла возможно в двух положениях: против хода движения (если малышу от 0 до 7-8 месяцев) или по ходу движения (если малышу от 7-8 месяцев и до 4-х лет). Кресло легко и быстро крепиться в автомобиле с помощью штатных ремней безопасности. Правильность прохождения ремней безопасности обеспечивается специальными направляющими «зацепками», предусмотренными по бокам автокресла.Безопасность: Автокресло имеет усиленную боковую защиту. Корпус из ударопрочного пластика гарантируют защиту при боковых и фронтальных столкновениях. Пятиточечные ремни безопасности с мягкими плечевыми накладками надежно зафиксируют малыша в автокресле. Прочный и практичный замок фиксации ремней безопасности надежно удержит малыша при резких торможениях и толчках.Автокресло Star сертифицировано и соответствует требованиям Европейского стандарта качества и безопасности ECE R44-04.Особенности:  Вес ребенка: 0-18 кг. Возраст: от рождения до 4 лет (ориентировочно). Крепится штатными ремнями безопасности автомобиля. Устанавливается по ходу и против хода движения автомобиля. Съемный пятиточечный ремень безопасности с мягкими плечевыми накладками. Корректировка высоты ремня безопасности в 3-х положениях. 3 положения угла наклона. Центральная регулировка натяжения ремней безопасности. Съемный чехол. Мягкий вкладыш для малыша (съемный). Устойчивая платформа. Сертификат Европейского Стандарта Безопасности ЕСЕ R44/04.Смотрите ссылку;"""Детки Конфетки""";http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;Автокресла;г. Пенза, ул. Перспективная, 1;http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;29-43-59;detkipenza@mail.ru;dis-pnz.ru
Rant Автокресло Pilot 0-18 кг;Цену оточняйте у продавца;"Основные характеристики автокресла Pilot:- легко устанавливается и крепится в автомобиле штатными ремнями безопасности;- 5-ти точечные ремни безопасности с мягкими плечевыми накладками для дополнительного комфорта (уменьшают нагрузку на плечи малыша);- прочный и практичный замок фиксации ремней безопасности позволяет легко разместить или извлечь малыша из кресла;- централизованная регулировка длины ремня безопасности;- регулировка высоты ремней безопасности в 3 положениях;- регулировка наклона сидения в 3-х положениях;- имеет специальный рычаг регулирования позиции кресла одной рукой;- мягкий съемный вкладыш для малышей;чехол легко снимается для чистки или стирки при температуре 30 градусов;- имеет прочную базу, позволяющую устанавливать кресло не только в автомобиле, но и на других ровных твердых поверхностях;- отвечает требованиям европейских стандартов безопасности ECE 44/04. Смотрите ссылку";"""Детки Конфетки""";http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;Автокресла;г. Пенза, ул. Перспективная, 1;http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;29-43-59;detkipenza@mail.ru;dis-pnz.ru
Rant Автокресло Top-Line;Цену оточняйте у продавца;Автокресло оснащено 5-ти точечными ремнями безопасности с мягкими плечевыми накладками (уменьшают нагрузку на плечи малыша). Накладки обеспечивают плотное прилегание и надежно удержат малыша в кресле в случае ударов. Ремни удобно регулировать под рост и комплекцию ребенка без особых усилий.Автокресло Top-Line имеет прочную базу, позволяющую устанавливать кресло не только в автомобиле, но и на других ровных твердых поверхностях.Съемный чехол автокресла Top-Line изготовлен из огнестойкой, гипоаллергенной эластичной ткани, легко чистится и стирается вручную или в деликатном режиме в стиральной машине при температуре 30 градусов.Крепление и установка: Установка автокресла возможно в двух положениях: против хода движения (если малышу от 0 до 7-8 месяцев), ребенок фиксируется внутренними ремнями безопасности. По ходу движения (если малышу от 7-8 месяцев и до 5-6 лет), ребенок фиксируется автомобильными ремнями безопасности. Правильность прохождения автомобильных ремней безопасности обеспечивается специальными фиксаторами, предусмотренными по бокам автокресла.Безопасность: Автокресло имеет усиленную боковую защиту. Корпус из ударопрочного пластика гарантируют защиту при боковых и фронтальных столкновениях. Пятиточечные ремни безопасности с мягкими плечевыми накладками надежно зафиксируют малыша в автокресле. Прочный и практичный замок фиксации ремней безопасности надежно удержит малыша при резких торможениях и толчках.Автокресло Top-Line сертифицировано и соответствует требованиям Европейского стандарта качества и безопасности ECE R44-04Особенности:Автокресло предназначено для детей с рождения и до 5-6 лет (до 25 кг.)устанавливается как против хода движения, так и по ходу движения автомобилялегко устанавливается и крепится в автомобиле штатными ремнями безопасностиспециальные фиксаторы по бокам автокресла для крепления автомобильных ремней безопасности5-ти точечные ремни безопасности с мягкими плечевыми накладками для дополнительного комфорта (уменьшают нагрузку на плечи малыша)прочный и практичный замок фиксации ремней безопасности позволяет легко разместить или извлечь малыша из креслацентрализованная регулировка длины ремня безопасностирегулировка высоты ремней безопасностей в 3 положенияхрегулировка наклона сидения в 3-х положенияхспециальная рукоятка для регулирования наклона кресла одной рукойпластиковые направляющие для автомобильных ремней безопасностидополнительная усиленная защита от боковых ударовмягкий съемный вкладыш для малышейчехол легко снимается для чистки или стирки при температуре 30 градусовимеет прочную базу, позволяющую устанавливать кресло не только в автомобиле, но и на других ровных твердых поверхностяхотвечает требованиям европейских стандартов безопасности ECE 44/04Смотрите ссылку;"""Детки Конфетки""";http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;Автокресла;г. Пенза, ул. Перспективная, 1;http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;29-43-59;detkipenza@mail.ru;dis-pnz.ru
Отличный выбор самых разнообразных товаров для детей;Цену оточняйте у продавца;Ваш малыш, дочка или сыночек, - это маленькое чудо. Хочется зацеловать это хрупкое создание и подарить ему весь мир! Вы стремитесь охватить все магазины для детей и приобрести для своего малыша все детские товары, о которых мечтали сами. Теперь в Ваших силах дать ребенку все самое лучшее и сделать его счастливым.Магазин товаров для детей «Детки Конфетки» выбрал из всего многообразия детских товаров все самое лучшее и разместила на своих торговых площадях весь спектр товаров: от самых необходимых до тех, которые мы покупаем лишь для того, чтобы потешить свое самолюбие.Ассортимент, представленный в магазине «Детки Конфетки», включает весь спектр товаров для детей: ясельный трикотаж, швейные изделия, детская одежда, колготки, носки, обувь детские принадлежности (соски, бутылочки, погремушки, прорезыватели и т.д.), кроватки, мебель, коляски, велосипеды, стульчики, ванны, горшки, матрацы, постельные принадлежности, подарочные наборы, детская косметика, товары для новорожденных, белье для беременных и кормящих матерей.Приходите и выбирайте всё то, что подходит именно Вам и Вашему малышу.Наш сайт: Смотрите ссылку.;"""Детки Конфетки""";http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;Будущим мамам;г. Пенза, ул. Перспективная, 1;http://bazarpnz.ru//logos_vitrina/bazar/219.png?14289;29-43-59;detkipenza@mail.ru;dis-pnz.ru
